brand,name,price,explain,patty,wordlist
맘스터치,새우불고기버거,5700,"새우살이 씹히는 통새우살 패티와 불맛 가득 불고기패티의 환상적인 버거 혼합육 패티, 통새우 패티, 불고기소스, 양상추, 양파, 피클",새우 패티,새우 살이 씹히다 패티 불맛 가득 불고기 환상 혼합 소스 양상추 양파 피클
맘스터치,싸이버거,4600,"바삭하고 매콤한 치킨 패티와 신선한 양상추가 조화를 이루는 맘스터치 시그니처 버거. 닭넓적다리 패티, 맘스소스, 양상추, 양파, 피클",치킨 패티,바삭 하고 매콤 치킨 패티 신선하다 양상 추가 조화 이루다 맘스 터치 넓적다리 소스 양상추 양파 피클
맘스터치,불싸이버거,4800,"화끈한 불맛이 살아있는 버거, 싸이버거의 매운맛 버전. 닭넓적다리 패티, 불닭소스, 양상추, 양파, 피클",소고기 패티,화끈하다 불맛 살다 싸이버 맵다 버전 넓적다리 패티 불닭 소스 양상추 양파 피클
맘스터치,딥치즈버거,5100,"부드러운 치즈와 한층 더 촉촉해진 통가슴살 패티가 일품인 버거. 닭가슴살 패티, 크림치즈, 체다치즈, 양상추, 양파, 피클",소고기 패티,부드럽다 치즈 한층 촉촉하다 가슴 패티 일품 크림 양상추 양파 피클
맘스터치,인크레더블버거,5700,"프리미엄 더블햄, 에그프라이, 통다리살 패티에 아삭아삭한 양상추와 양파까지, 풍성한 버거. 닭넓적다리 패티, 허브소스,  TI소스, 저민 햄,  계란 프라이, 양상추, 양파, 피클",소고기 패티,프리미엄 더블 에그 프라이 다리 패티 아삭아삭 양상추 양파 성하다 넓적다리 허브 소스 계란 피클
맘스터치,언빌리버블버거,5900,"통새우, 에그프라이, 통가슴살 패티에 매콤한 스리라차 마요 소스를 더한 대확행 버거. 닭가슴살 패티, 허브소스,  맘스소스, 스리라차 소스, 새우 튀김,  계란 프라이, 양상추, 양파, 피클",새우 패티,새우 에그 프라이 가슴 패티 매콤 스리 라차 소스 더하다 대다 확행 허브 맘스 튀김 계란 양상추 양파 피클
맘스터치,불고기버거,3900,"영양 만점 불고기 패티에 고소한 불고기 소스를 더해 한층 더 맛있는 버거. 혼합육 패티, 불고기소스, 양상추, 양파",소고기 패티,영양 만점 불고기 패티 고소하다 소스 더하다 한층 맛있다 혼합 양상추 양파
맘스터치,통새우버거,3500,"고소하고 탱글한 통새우 패티에 신선한 양상추가 조화로운 버거. 통새우 패티, 맘스소스, 양상추, 양파, 피클",새우 패티,고소하다 새우 패티 신선하다 양상 추가 조화롭다 맘스 소스 양상추 양파 피클
맘스터치,화이트갈릭버거,4900,"부드러운 화이트 갈릭소스에 프리미엄 더블햄과 통가슴살 패티까지 담은 묵직한 버거. 닭가슴살 패티, 화이트 갈릭 소스, 치즈, 저민 햄, 양파, 피클",소고기 패티,부드럽다 화이트 갈릭 소스 프리미엄 더블 가슴 패티 담다 직하다 치즈 양파 피클
맘스터치,디럭스불고기버거,5200,"진한 불고기 소스의 패티가 두장, 고소한 치즈와 신선한 양상추가 곁들어진 프리미엄 버거. 혼합육 패티 2장, 불고기소스, 양상추, 양파, 화이트치즈",소고기 패티,진하다 불고기 소스 패티 고소하다 치즈 신선하다 양상 추가 들다 프리미엄 혼합 양상추 양파 화이트
맘스터치,할라피뇨통살버거,4800,"바삭한 통다리살 패티와 매콤한 할라피뇨 소스가 어우러져 뒷맛까지 깔끔한 버거. 닭넓적다리 패티, 랠리쉬 소스, 양상추, 양파, 피클, 토마토, 할라피뇨",소고기 패티,바삭 다리 패티 매콤 피뇨 소스 어우러지다 뒷맛 깔끔하다 넓적다리 랠리 양상추 양파 피클 토마토 할라피뇨
맘스터치,휠렛버거,4400,"바삭한 치킨 패티와 상큼한 양상추가 어우러진 버거. 닭가슴살 패티, 맘스소스, 양상추, 양파, 피클, 토마토",치킨 패티,바삭 치킨 패티 상큼 양상 추가 어우러지다 가슴 맘스 소스 양상추 양파 피클 토마토
