Unnamed: 0,id,name,rank,visitor,blog,menu,explain,price,jibun_address,patty,wordlist,latitude,longitude
76,1966454804,버거스올마이티 강남역점,4.74,"1,767",731,3대몇?버거,"번대신 양상추 사이로 100% 스매쉬패티, 아메리칸치즈, 토마토, 양파, 양상추","9,500원",역삼동 813-4,소고기 패티,대신 양상추 사이 매쉬 패티 아메리칸 치즈 토마토 양파,37.5027045382404,127.026414164443
79,1966454804,버거스올마이티 강남역점,4.74,"1,767",731,올치킨 샐러드,양상추+적양파+그릴드치킨+치킨텐더 2작+계란후라이+방울토마토+파슬리+버거스프레드소스,"6,900원",역삼동 813-4,치킨 패티,양상추 양파 그릴 치킨 치키다 계란 라이 방울토마토 파슬리 스프레드 소스,37.5027045382404,127.026414164443
111,1287859520,버거스캔들 서초역점,0.0,39,9,골든베이컨버거,수제 소고기패티+폭신한 브리오쉬번+청상추+토마토+구운 파인애플+베이컨+볶은양파+특제소스,"8,300원",서초동 1302-1,소고기 패티,수제 고기 패티 신한 브리 오쉬 상추 토마토 파인애플 베이컨 볶다 양파 특제 소스,37.5031604059495,127.02175483636
112,1287859520,버거스캔들 서초역점,0.0,39,9,NY더블치즈버거,수제 소고기패티2개+체다치즈2장+폭신한 브리오쉬번+청상추+토마토+볶은양파+특제소스,"9,500원",서초동 1302-1,소고기 패티,수제 고기 패티 치즈 신한 브리 오쉬 상추 토마토 볶다 양파 소스,37.5031604059495,127.02175483636
113,1287859520,버거스캔들 서초역점,0.0,39,9,아메리칸치즈버거,소고기패티+폭신한 브리오쉬번+볶은양파+특제소스,"5,900원",서초동 1302-1,소고기 패티,소고기 패티 신한 브리 오쉬 볶다 양파 특제 소스,37.5031604059495,127.02175483636
114,1287859520,버거스캔들 서초역점,0.0,39,9,스캔들버거,수제 소고기패티+폭신한 브리오쉬번+청상추+토마토+볶은양파+특제소스,"6,300원",서초동 1302-1,소고기 패티,수제 고기 패티 신한 브리 오쉬 상추 토마토 볶다 양파 소스,37.5031604059495,127.02175483636
115,1287859520,버거스캔들 서초역점,0.0,39,9,NY치즈버거,수제 소고기패티+체다치즈+폭신한 브리오쉬번+청상추+토마토+볶은양파+특제소스,"7,500원",서초동 1302-1,소고기 패티,수제 고기 패티 치즈 신한 브리 오쉬 상추 토마토 볶다 양파 소스,37.5031604059495,127.02175483636
116,1287859520,버거스캔들 서초역점,0.0,39,9,아메리칸치즈버거,소고기패티+폭신한 브리오쉬번+볶은양파+특제소스,"5,900원",서초동 1302-1,소고기 패티,소고기 패티 신한 브리 오쉬 볶다 양파 특제 소스,37.5031604059495,127.02175483636
117,1287859520,버거스캔들 서초역점,0.0,39,9,레전드치킨버거,통살치킨패티+폭신한 브리오쉬번+청상추+볶은양파+피클+특제소스,"5,300원",서초동 1302-1,치킨 패티,통살 치킨 패티 신한 브리 오쉬 상추 볶다 양파 피클 소스,37.5031604059495,127.02175483636
118,1287859520,버거스캔들 서초역점,0.0,39,9,매운핫치킨버거,통살치킨패티+폭신한 브리오쉬번+청상추+특제소스+볶은양파+피클,"5,700원",서초동 1302-1,치킨 패티,통살 치킨 패티 신한 브리 오쉬 상추 소스 볶다 양파 피클,37.5031604059495,127.02175483636
