restaurant,id,person
버거재이,1388427634,임지우
빌리버거,1505044211,임지우
버거스올마이티 남포점,1967013694,임지우
버거스올마이티 밀락더마켓점,1191296982,임지우
비킹후스,1353349014,임지우
목동버거동래수안점,1837614012,임지우
문버거 동래점,1802545222,임지우
버거베이 정관점,1777280076,임지우
왓더버거 부산역점,1146584695,임지우
오글스,1401269690,임지우
로위,1953253360,임지우
버거잇,1116782484,임지우
패티 113,1677020530,임지우
왓더버거 덕천점,1861353011,임지우
맥스버거 부곡점,1757457691,임지우
번패티번 롯데백화점 부산본점,1865826843,임지우
쉐이크쉑 서면점,1055942194,임지우
왓더버거 부산하단점,1431807365,임지우
고릴라버거,1446272415,임지우
버거런 본점,1900596171,임지우
버거15,1568273166,임지우
골드파파,1558652745,임지우
A.W,1827024803,임지우
샾버거,1173354646,임지우
에이전트 버거&커피,1878053908,임지우
버거앤파스타 구남로점,33130016,임지우
무지개 온천천카페거리점,1303395695,임지우
부버거,1610421928,임지우
버거앤파스타 마린시티점,37558862,임지우
존스버거,376610390,임지우
기프트버거,1221116194,임지우
와프,1267888195,임지우
리프버거,1268034498,임지우
잇워즈고트 범어점,1294326752,임지우
벙커버거 경대점,1428452343,임지우
베른린버거 범어점,1993189382,임지우
어썸버거,1892894341,임지우
스모크룸 앞산점,1337681763,임지우
VVT버거 두류점,1427365815,임지우
기프트버거 경대점,1275129199,임지우
상동버거 브런치카페,1073449799,임지우
잇워즈고트 월성점,1914163039,임지우
버거당,1156296111,임지우
기프트버거 광장코아점,1441554346,임지우
버거룰,1724677600,임지우
버건디,1436510823,임지우
픽벅 본점,1665590892,임지우
먼치번즈 애월,1362856539,임지우
판포리아,1012327599,임지우
삼다버거,87560667,임지우
하우투플레아,1900109325,임지우
피넛아일랜드,1877745925,임지우
애월 범벅 해안도로점,1639592792,임지우
테네시테이블,1156067020,임지우
스테이지 버거,1117849994,임지우
범버거&범치킨,1012606086,임지우
신스버거 애월 본점,1243660462,임지우
버거캐럿,1291581273,임지우
투 아일랜드,1524320795,임지우
할렘버거,1807015750,임지우
인스턴트버거,1390114727,임지우
슈퍼마켓화이트버거스탠드,1383225258,임지우
바라버거,1361041155,임지우
미국식 제주점,1916776752,임지우
8997버거 제주용담점,1602603723,임지우
하하호호 성산점,37568371,임지우
양가형제노형,1737120286,임지우
헌드레드버거클럽,1457997546,임지우
킴스버거앤치킨,1410225262,임지우
패티스터,1799461928,임지우
버거진심,1014439986,임지우
비양버거 제주금능점,1831102894,임지우
TEXIA,768832682,임지우
피쉬어바웃,1652807269,임지우
서플라이 죠지,1128562662,임지우
안녕육지사람,35637690,임지우
친밀 제주,1680427154,임지우
오크버거,1591556926,최주희
바이아웃,1135223552,최주희
버거307 제주함덕점,697109858,최주희
힘난다버거 신논현역점,1470422298,최주희
행벅수제버거,1574333796,최주희
한강버거,1855564666,최주희
피터콤마안목가게,1641435616,최주희
플렉스버거,1115330045,최주희
플레이크,1010625528,최주희
플레이벅,1382967732,최주희
플레이버거,15985995,최주희
프릭스버거 대전둔산점,1700309398,최주희
프로스트,31139649,최주희
프랭클린스델리,1441022454,최주희
프랭크버거 강릉주문진점,1266904820,최주희
프랭크버거 강릉입암점,1630217853,최주희
프랭크버거 강릉유천점,1992410118,최주희
프랭크버거 강릉역점,1278956938,최주희
풀리너마이트 홍대,1631324110,최주희
폴트버거 더현대서울,1722570774,최주희
포티데이즈,1515829544,최주희
포시즌버거앤펍,1775455427,최주희
포시즌버거 건대점,1225283859,최주희
포시즌버거,1313965458,최주희
펀치스낵,1098170004,최주희
퍼스버거 본점,1547378040,최주희
팬시버거클럽,1026207477,최주희
패티패티,1715687895,최주희
패티스,1283400287,최주희
패티김 강릉,1141291629,최주희
팍스버거,1884449809,최주희
파이어벨 코엑스점,1670896711,최주희
파이어벨 대치본점,35150126,최주희
파이브가이즈 여의도,1092528783,최주희
파이브가이즈 고속터미널,1928852747,최주희
파이브가이즈 강남,1898369171,최주희
파머스키친 대관령점,1780701775,최주희
파머스키친 강릉점,1044205239,최주희
튜즈데이 버거 앤 윙,1520283395,최주희
텐핑거 청담점,1713256632,최주희
테임디쉬,1255442299,최주희
테이스티버거 잠실점,1222127286,최주희
크러쉬버거&펍,1417519787,최주희
케이트버거 잠실본점,1955916064,최주희
커피로움 주문진점,33706739,최주희
캘프,1430791412,최주희
카페폴앤메리,20471728,최주희
카페오션스강릉버거,1256277450,최주희
침스버거 안국,1885024120,최주희
침스버거 상암점,1503366737,최주희
치킨버거 이스트사이드,1109548907,최주희
치버킹 본점,1547228572,최주희
춘배버거,1510058590,최주희
초당버거,1167659600,최주희
쩝스버거,1037148685,최주희
조이버거,1547599486,최주희
제스티살룬 연남,1902874356,최주희
제스티살룬 성수,1172915589,최주희
제스티살룬 목동현대,1760368838,최주희
제레미버거jr,1318672801,최주희
잭커리 버거 클럽,1282954600,최주희
잭잭,1747946790,최주희
잭스패티,1315517173,최주희
자코비버거 본점,13000071,최주희
자이온 종로점,1261156202,최주희
자이온 등촌점,1313844608,최주희
자마버거 이대점,1425582151,최주희
일구공 성수 본점,1046875988,최주희
유천 트래블 펍 pub,1612627092,최주희
웨스트버거,1529789626,최주희
원더버거,1713815650,최주희
우드힐,968847247,최주희
우김버거,1404082819,최주희
왓츠플레이버,1823080576,최주희
와일드캣,1872615998,최주희
올데이브런치서비스 x 도연하다,1250156104,최주희
올더웨이,1174474392,최주희
온더버거,1250593936,최주희
옥탑버거,1548797082,최주희
옥스그릴 도곡점,1045852063,최주희
오프버거,1688397558,최주희
오디너리버거,1022660760,최주희
옐로트렁크,1194619995,최주희
옐로우몽키즈,1662213433,최주희
엘더버거 성수,1774193810,최주희
엘더버거 강남,1597658167,최주희
엉클76,1340428595,최주희
양키스 버거앤피자,99465898,최주희
야스버거,1568490989,최주희
앤드버거,1672603733,최주희
알지비버거,1448135541,최주희
알앤티,1105275222,최주희
알렉스 플레이스,21274070,최주희
아메리칸버거클럽,1387135073,최주희
아라치라운지 압구정본점,1563479721,최주희
식스틴버거로드,1386225369,최주희
시티버거 신림점,1211634434,최주희
슬로우먼데이,79530218,최주희
스페이스원 버거,79530218,최주희
슈퍼두퍼 홍대점,1349823588,최주희
슈퍼두퍼 코엑스 스타필드점,1557682558,최주희
쉘터버거,1444469421,최주희
쉘 팩토리,1588775725,최주희
쉐이크쉑 청담점,876646309,최주희
쉐이크쉑 용산 아이파크몰점,1958435359,최주희
송파스타323,1189069606,최주희
세븐패티버거 가산점,1694787997,최주희
세븐버거스 어 위크,1929140471,최주희
서울맥,1153474056,최주희
서울대76동 나인온스버거,1453551810,최주희
삼촌버거,1301129785,최주희
사천 010,1377309597,최주희
빨차카페,36829064,최주희
빅터스버거 본점,1193281968,최주희
빅터스버거 공릉직영점,1934811555,최주희
비츠버거 문정점,1170560388,최주희
브릭레인버거,1940060457,최주희
브리즈 버거,1877123727,최주희
브루클린더버거조인트 청계천점,1547713044,최주희
브루클린더버거조인트 여의도점,1161783587,최주희
브루클린더버거조인트 목동점,1279806254,최지우
브루클린더버거조인트 롯데월드점,1940384192,최지우
브루클린더버거조인트 동부이촌점,1654425920,최지우
브루클린더버거조인트 광화문디타워점,1303273851,최지우
브루클린더버거조인트 가로수길점,37256574,최지우
브루클린 더 버거조인트,37397540,최지우
브루클린 더 버거 조인트 올림픽공원점,1065499734,최지우
브로스 버거앤 샐러드,1189218138,최지우
브로버거,1684359317,최지우
브라이언스 버거,1045034898,최지우
불스버거,1291618671,최지우
부쳐샵 봉화산역점,1401057542,최지우
보노보스버거,1902710777,최지우
번패티번 서초점,1280237575,최지우
번패티번 더현대서울점,1237138075,최지우
번패티번 강릉,1126156343,최지우
번패티번 강남점,1531094421,최지우
번앤버니,1086650588,최지우
번 앤 미트,1855314857,최지우
버터버거 천호점,1842570470,최지우
버바나 버거 연남,1346654319,최지우
버기즈 탄방,1532182193,최지우
버기즈 어은,1252355637,최지우
버거하다,1247613671,최지우
버거피스,1547037165,최지우
버거프렌즈 충남대점,1114444593,최지우
버거프렌즈 자양점,1496683680,최지우
