,title,content,text
217,5kg 두번째 구매,다이어트웨이 먹다가 임팩트웨이로 바꿨어요. 근육이 많이 필요해서.. ㅎㅎ 밀크티 맛있다고 해서 주문했는데 맛있어요. 근데 저는 바닐라 맛 보다 물에 잘 안풀어지는 듯.. 많이 덩어리져요.. 엄청나게 흔들어도.. ㅎㅎ 하지만 덩어리는 그냥 먹으면 됌ㅎㅎㅎ 근육이 많아져있길!,5kg 두번째 구매다이어트웨이 먹다가 임팩트웨이로 바꿨어요. 근육이 많이 필요해서.. ㅎㅎ 밀크티 맛있다고 해서 주문했는데 맛있어요. 근데 저는 바닐라 맛 보다 물에 잘 안풀어지는 듯.. 많이 덩어리져요.. 엄청나게 흔들어도.. ㅎㅎ 하지만 덩어리는 그냥 먹으면 됌ㅎㅎㅎ 근육이 많아져있길!
218,초콜렛 스무스,물에 잘 섞이고 맛도 좋아요!!,초콜렛 스무스물에 잘 섞이고 맛도 좋아요!!
219,레드빈 괜찮네요,딱 비비빅 녹은 맛 느낌인데 이게 저에게는 은근히 괜찮네요. 팥을 좋아하기에 만족감이 높네요. 1kg보다 큰 사이즈 출시를 기다리겠습니다.,레드빈 괜찮네요딱 비비빅 녹은 맛 느낌인데 이게 저에게는 은근히 괜찮네요. 팥을 좋아하기에 만족감이 높네요. 1kg보다 큰 사이즈 출시를 기다리겠습니다.
220,생각보다 민트가 괜찮은편,"항상 아이스라떼 사먹다가, 다른 친구의 추천으로 초콜릿 민트 구매함. 민트맛이 세지 않고 초콜렛 맛 끝나면 묵직하지 않은 느낌정도만 나서 괜찮았음. 무엇보다 물에 잘 풀어짐","생각보다 민트가 괜찮은편항상 아이스라떼 사먹다가, 다른 친구의 추천으로 초콜릿 민트 구매함. 민트맛이 세지 않고 초콜렛 맛 끝나면 묵직하지 않은 느낌정도만 나서 괜찮았음. 무엇보다 물에 잘 풀어짐"
221,와우.. 생각보다 맛있어요,"어떤 분은 추천하시고 어떤분은 인위적인 맛이 난다길래 고민했었는데 제가 다른 프로틴도 먹어봐서인지 전 너무너무 괜찮았어요 
    엄청 인공맛나는 느낌도 아니였고 그리고 이상하게 운동해서인지는 모르겠지만 이거 먹고나서 피로감이 줄었다해야하나 기분탓일까요? 
    원래 저녁되면 항상 졸리고 비타민 먹어도 졸렸는데 프로틴 먹고나선 뭔가 상쾌함이 느껴집니다... 우어 이런 기분 첨이예요","와우.. 생각보다 맛있어요어떤 분은 추천하시고 어떤분은 인위적인 맛이 난다길래 고민했었는데 제가 다른 프로틴도 먹어봐서인지 전 너무너무 괜찮았어요 
    엄청 인공맛나는 느낌도 아니였고 그리고 이상하게 운동해서인지는 모르겠지만 이거 먹고나서 피로감이 줄었다해야하나 기분탓일까요? 
    원래 저녁되면 항상 졸리고 비타민 먹어도 졸렸는데 프로틴 먹고나선 뭔가 상쾌함이 느껴집니다... 우어 이런 기분 첨이예요"
222,내츄럴 초콜렛 맛있엇영,배송 좀 오래걸렸지만 제티맛나고 계속 생각나는 맛,내츄럴 초콜렛 맛있엇영배송 좀 오래걸렸지만 제티맛나고 계속 생각나는 맛
223,"순한 초코 ,딸기우유느낌",저는물이랑먹어도 너무 맛있게 먹었습니다ㅎㅎㅎ,"순한 초코 ,딸기우유느낌저는물이랑먹어도 너무 맛있게 먹었습니다ㅎㅎㅎ"
224,만족합니다,초코브라우니맛은 처음인데 딱 무난하고 호불호없는 맛이라서 좋습니다. 카라멜은 단거 좋아하시는 분이 드셔야 할정도도로 달달하네요,만족합니다초코브라우니맛은 처음인데 딱 무난하고 호불호없는 맛이라서 좋습니다. 카라멜은 단거 좋아하시는 분이 드셔야 할정도도로 달달하네요
225,언제나 믿고 먹는 마프 쉐이크,"단백질 함유량도 좋고 맛도 실패가 없음
    마프 알게 된 후로 득근 상승세를 보이고 있음 종류별로 다 먹어보는게 목표","언제나 믿고 먹는 마프 쉐이크단백질 함유량도 좋고 맛도 실패가 없음
    마프 알게 된 후로 득근 상승세를 보이고 있음 종류별로 다 먹어보는게 목표"
226,무난하게 맛있어요!,"특색 없지만 크게 질리지 않는 맛이에요.
    무난해서 좋네요","무난하게 맛있어요!특색 없지만 크게 질리지 않는 맛이에요.
    무난해서 좋네요"
227,맛있어요,"다른 프로틴 파우더는 물에 타먹으면 너무 밍밍하고 날달걀 비슷한 비린내가 나는데
    이건 물에 타먹어도 꽤 맛있네요 블루베리 치즈케이크 맛으로 처음 구매했는데 만족해요
    내일은 아몬드 브리즈랑 먹어봐야겠네요ㅋㅋㅋㅋㅋㅋ 맛있을듯","맛있어요다른 프로틴 파우더는 물에 타먹으면 너무 밍밍하고 날달걀 비슷한 비린내가 나는데
    이건 물에 타먹어도 꽤 맛있네요 블루베리 치즈케이크 맛으로 처음 구매했는데 만족해요
    내일은 아몬드 브리즈랑 먹어봐야겠네요ㅋㅋㅋㅋㅋㅋ 맛있을듯"
228,만족스럽습니다,생각했던거 보다 훨씬 맛도있고 만족스럽습니다,만족스럽습니다생각했던거 보다 훨씬 맛도있고 만족스럽습니다
229,아니 배송은 개느리거든요? 거의 3주 기다렷어요,"아니 그래서 진짜 맛없으면 다 버릴라구 했는데;; 큰일났아요 밀크티맛 이제일 궁금해서 먼저 깟다가 이거 간식으로 조지겠어요;; 
    애지간한 카페 파우더 밀크티보다 맛있구요 약간 티백으로 우린 로열밀크티비슷한 맛이 나요. 프로틴이라 어쩔수 없는 매끈한 식감이랑 잘 안섞이는거만 빼면; 카페에서 팔아도 되겠더란;; 맛있어서 너무 어이없어서 미리주문 더했어요;;; 아니 다시생각해도 어이없네;;;","아니 배송은 개느리거든요? 거의 3주 기다렷어요아니 그래서 진짜 맛없으면 다 버릴라구 했는데;; 큰일났아요 밀크티맛 이제일 궁금해서 먼저 깟다가 이거 간식으로 조지겠어요;; 
    애지간한 카페 파우더 밀크티보다 맛있구요 약간 티백으로 우린 로열밀크티비슷한 맛이 나요. 프로틴이라 어쩔수 없는 매끈한 식감이랑 잘 안섞이는거만 빼면; 카페에서 팔아도 되겠더란;; 맛있어서 너무 어이없어서 미리주문 더했어요;;; 아니 다시생각해도 어이없네;;;"
230,여러가지 1키로씩,주문했는데 감미료 맛 저는 좀 힘드네요 ㅋㅋㅋ 그래도 주문할듯 운동 빡세게 하고 공복에 먹으면 맛있을듯,여러가지 1키로씩주문했는데 감미료 맛 저는 좀 힘드네요 ㅋㅋㅋ 그래도 주문할듯 운동 빡세게 하고 공복에 먹으면 맛있을듯
231,달달하고 약간 느끼함,딱 쿠앤크 사이에 그 하얀 크림 퍼먹는 느낌입니당 저는 물에 타먹기도하지만 오트밀이나 계란 이용해서 빵만들어먹기도 하는데요 잘어울려요 ㅎ 다만 달고 느끼한거 싫어하는분들은 좀 안맞을수도,달달하고 약간 느끼함딱 쿠앤크 사이에 그 하얀 크림 퍼먹는 느낌입니당 저는 물에 타먹기도하지만 오트밀이나 계란 이용해서 빵만들어먹기도 하는데요 잘어울려요 ㅎ 다만 달고 느끼한거 싫어하는분들은 좀 안맞을수도
232,제일 맛있게 먹는 보충제,"여러가지 맛으로 돌려가며 먹고 있어요.
    밀크티랑 훗카이도 밀크가 제일 맛있었고 이번에 통단팥과 현미녹차,스트로베리크림 주문해 봤어요.
    단백질 비린맛도 안나고 최고에요.","제일 맛있게 먹는 보충제여러가지 맛으로 돌려가며 먹고 있어요.
    밀크티랑 훗카이도 밀크가 제일 맛있었고 이번에 통단팥과 현미녹차,스트로베리크림 주문해 봤어요.
    단백질 비린맛도 안나고 최고에요."
233,마프 처음인데 만족합니다.,임펙트 웨이 풀림도 좋고 맛도 좋아요. 강추!!,마프 처음인데 만족합니다.임펙트 웨이 풀림도 좋고 맛도 좋아요. 강추!!
234,존맛,"솔직히 스트로베리크림...호불호가 많이 갈린다고는 하는데 딸기우유 좋아하는 사람이라면 무조건 좋아할만한 맛입니다..
    친구한테 솔티드카라멜도 선물로 받아서 잠깐 먹어봤는데 솔티드카라멜도 맛은 괜찮았지만 개인적으로 스트로베리크림이 더 맛있었어요ㅎ","존맛솔직히 스트로베리크림...호불호가 많이 갈린다고는 하는데 딸기우유 좋아하는 사람이라면 무조건 좋아할만한 맛입니다..
    친구한테 솔티드카라멜도 선물로 받아서 잠깐 먹어봤는데 솔티드카라멜도 맛은 괜찮았지만 개인적으로 스트로베리크림이 더 맛있었어요ㅎ"
235,이게 최고에요,"가격대비 맛이나 물에 풀리는거 생각하면 역시 이게 최고에요
    추천추천","이게 최고에요가격대비 맛이나 물에 풀리는거 생각하면 역시 이게 최고에요
    추천추천"
236,아주굿,대기업의 스테디셀러답게 보증된 맛과 영양성분으로 믿고 구매중입니다,아주굿대기업의 스테디셀러답게 보증된 맛과 영양성분으로 믿고 구매중입니다
237,맛잇음,항상 딸기크림만 먹음 굿!!!!,맛잇음항상 딸기크림만 먹음 굿!!!!
238,헐 현미녹차맛 5kg으로 출시해주세요 ㅠㅠ,계속 초콜릿 브라우니맛이 제일 안질려서 잘 사먹고 있지만 이번에 현미녹차 한정판 맛으로 250g 20만원 이상 구매 사은품 받았는데 ㅠㅠ 안달고 너무 맛있네요 ㅠㅠ 이거 5kg 출시 예정 없나요 ㅋㅋㅋㅋㅋ,헐 현미녹차맛 5kg으로 출시해주세요 ㅠㅠ계속 초콜릿 브라우니맛이 제일 안질려서 잘 사먹고 있지만 이번에 현미녹차 한정판 맛으로 250g 20만원 이상 구매 사은품 받았는데 ㅠㅠ 안달고 너무 맛있네요 ㅠㅠ 이거 5kg 출시 예정 없나요 ㅋㅋㅋㅋㅋ
239,말차라떼 강추!,"운동하면서 단백질의 중요성을 알게되어 마이프로틴을 구매하게 되었습니다! 
    일단 맛종류가 다양해서 선택하기 어려웠지만 많은 분들이 말차라떼 맛이 좋다고 하였고 저 또한 말차러버라...ㅎ 첫 스타트는 말차로 시작했고 무료배송 맞추려고 2.5키로로 구매했슴당! 맛 없으면 어떻게 처리할지 고민도 안하고 말이죵... 근데 다행히도 너무 맛있어요 ㅠㅠ! 단백질 쉐이크라는걸 처음 먹어봐서 단백질 그 특유의 맛? 이런거 때문에 거부감있다는 사람들도 봤었는데 저는 이런걸 모르는데 하필 또 맛있다고 유명한 마프를 시켜서 앞으로도 못 느낄 예정입니다~~ 빨리 프로틴 먹고 운동하고 싶었는데 배송도 딱 일주일! 걸려서 너무 좋았어요♡ 블프때 산거라 한달 걸리면 어쩌지 걱정했고 해외배송도 처음이라 떨렸거든요..ㅎ 어쨌든 얘 먹고 운동하니까 평소보다 힘이 좀 나는 거 같아서 좋았어요 말차 라테 맛 강추합니다! 웬만한 카페 뺨치는 맛입니다","말차라떼 강추!운동하면서 단백질의 중요성을 알게되어 마이프로틴을 구매하게 되었습니다! 
    일단 맛종류가 다양해서 선택하기 어려웠지만 많은 분들이 말차라떼 맛이 좋다고 하였고 저 또한 말차러버라...ㅎ 첫 스타트는 말차로 시작했고 무료배송 맞추려고 2.5키로로 구매했슴당! 맛 없으면 어떻게 처리할지 고민도 안하고 말이죵... 근데 다행히도 너무 맛있어요 ㅠㅠ! 단백질 쉐이크라는걸 처음 먹어봐서 단백질 그 특유의 맛? 이런거 때문에 거부감있다는 사람들도 봤었는데 저는 이런걸 모르는데 하필 또 맛있다고 유명한 마프를 시켜서 앞으로도 못 느낄 예정입니다~~ 빨리 프로틴 먹고 운동하고 싶었는데 배송도 딱 일주일! 걸려서 너무 좋았어요♡ 블프때 산거라 한달 걸리면 어쩌지 걱정했고 해외배송도 처음이라 떨렸거든요..ㅎ 어쨌든 얘 먹고 운동하니까 평소보다 힘이 좀 나는 거 같아서 좋았어요 말차 라테 맛 강추합니다! 웬만한 카페 뺨치는 맛입니다"
240,좋은 제품,"단백질 가루로 좋은 제품에 좋은 가격으로 구매해서 먹고 있습니다. 아들이 열심히 운도하는 모습을 보니 흐뭇하기도 하고 유해성분이 없는지 걱정이되기도 하지만
    이 제품이 인기가 많나봐요.","좋은 제품단백질 가루로 좋은 제품에 좋은 가격으로 구매해서 먹고 있습니다. 아들이 열심히 운도하는 모습을 보니 흐뭇하기도 하고 유해성분이 없는지 걱정이되기도 하지만
    이 제품이 인기가 많나봐요."
